Municipios;Distritos;Secciones;Sexo;Nacionalidad;Distribución de la renta por unidad de consumo;Periodo;Total
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
32001 Allariz;3200101 Allariz distrito 01;;Hombres;Extranjera;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Española;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;.
32001 Allariz;3200101 Allariz distrito 01;;Mujeres;Extranjera;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;.
32001 Allariz;3200101 Allariz distrito 01;3200101001 Allariz sección 01001;Total;Española;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;.
32001 Allariz;3200101 Allariz distrito 01;3200101001 Allariz sección 01001;Total;Española;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;.
32001 Allariz;3200101 Allariz distrito 01;3200101001 Allariz sección 01001;Total;Española;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;.
32001 Allariz;3200101 Allariz distrito 01;3200101001 Allariz sección 01001;Total;Española;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;.
32001 Allariz;3200101 Allariz distrito 01;3200101001 Allariz sección 01001;Total;Española;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;.
32001 Allariz;3200101 Allariz distrito 01;3200101001 Allariz sección 01001;Total;Española;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2018;.
32001 Allariz;3200101 Allariz distrito 01;3200101001 Allariz sección 01001;Total;Española;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2017;.
32001 Allariz;3200101 Allariz distrito 01;3200101001 Allariz sección 01001;Total;Española;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2016;.
32001 Allariz;3200101 Allariz distrito 01;3200101001 Allariz sección 01001;Total;Española;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2015;.
32001 Allariz;3200101 Allariz distrito 01;3200101001 Allariz sección 01001;Total;Española;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2023;.
32001 Allariz;3200101 Allariz distrito 01;3200101001 Allariz sección 01001;Total;Española;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2022;.
32001 Allariz;3200101 Allariz distrito 01;3200101001 Allariz sección 01001;Total;Española;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2021;.
32001 Allariz;3200101 Allariz distrito 01;3200101001 Allariz sección 01001;Total;Española;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2020;.
32001 Allariz;3200101 Allariz distrito 01;3200101001 Allariz sección 01001;Total;Española;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2019;.
32001 Allariz;3200101 Allariz distrito 01;3200101001 Allariz sección 01001;Total;Española;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2018;.
32001 Allariz;3200101 Allariz distrito 01;3200101001 Allariz sección 01001;Total;Española;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2017;.
32001 Allariz;3200101 Allariz distrito 01;3200101001 Allariz sección 01001;Total;Española;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2016;.
32001 Allariz;3200101 Allariz distrito 01;3200101001 Allariz sección 01001;Total;Española;Población con ingresos por unidad de consumo por debajo de 7.500 Euros;2015;.
32001 Allariz;3200101 Allariz distrito 01;3200101001 Allariz sección 01001;Total;Española;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2023;.
32001 Allariz;3200101 Allariz distrito 01;3200101001 Allariz sección 01001;Total;Española;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2022;.
32001 Allariz;3200101 Allariz distrito 01;3200101001 Allariz sección 01001;Total;Española;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;.
